,index,events,error_star,error_star_integral,market_price,blockheight,timedelta,cumulative_time,timestamp,cdps,eth_price,eth_collateral,eth_locked,eth_freed,eth_bitten,v_1,v_2,v_3,principal_debt,rai_drawn,rai_wiped,rai_bitten,u_1,u_2,u_3,accrued_interest,system_revenue,stability_fee,interest_dripped,interest_wiped,interest_bitten,w_1,w_2,w_3,target_price,target_rate,p_expected,eth_return,eth_gross_return,optimal_values,beta,Q,v_2 + v_3,D_1,u_2 + u_3,D_2,w_2 + w_3,D,simulation,subset,run,substep,timestep,eth_collateral_value,collateralization_ratio
0,0,,0.0,0.0,1.01760484160946,0,0.0,0.0,2017-12-18,,736.004090277778,2425.6619999999994,2526.6619999999994,0.0,101.0,2526.6619999999994,0.0,101.0,595296.0830293334,595342.0268693233,10.0,35.94383999,595342.0268693233,10.0,35.94383999,0.0,0,1.5854895991882293e-10,0,0,0,0.0,6.2764756553528835e-06,2.256006366571345e-05,1.0,0.0,1.0,0.0,0.0,{},0.005,2425.6619999999994,101.0,595296.0830293334,45.94383999,0.0,2.8836539321066332e-05,595296.0830293334,0,0,1,0,0,1785297.1536313752,2.999007056364932
1,14,,-0.017604841609460076,-760.5291575286752,1.011206732956505,0,86400.0,86400.0,2017-12-19,,832.236972222222,28400.19905882793,29592.438117669168,1091.239058841237,101.0,27065.776117669167,1091.239058841237,0.0,6970246.011701855,6970408.746028585,126.79048674090018,35.94383999,6375066.719159262,116.79048674090018,0.0,95.48347114336887,0,1.5854895991882293e-10,0,0,0,95.48570039587507,0.0,0.0,1.0,0.0,1.0043275924442232,0.13075047165583603,1.0,"{'u_1': 6375066.719159262, 'u_2': 116.79048674090018, 'v_1': 27065.776117669167, 'v_2 + v_3': 1091.239058841237}",0.005,2425.6619999999994,101.0,595296.0830293334,45.94383999,0.0,2.8836539321066332e-05,595296.0830293334,0,0,1,14,1,23635695.675227355,3.3909413865087474
2,28,,-0.011206732956505094,-1933.6600212496953,1.011083408959102,0,86400.0,172800.0,2017-12-20,,810.287506944444,54069.750081103455,56340.4034211675,2169.6533400640483,101.0,26747.965303498335,1078.4142812228113,0.0,13270342.99082894,13270621.132578159,242.19790922879938,35.94383999,6300212.386549573,115.4074224878992,0.0,277.27153529396367,0,1.5854895991882293e-10,0,0,0,86.30617397210621,0.0,0.0,1.0,0.0,1.0020077478427913,-0.02637405692175512,1.0,"{'u_1': 6300212.386549573, 'u_2': 115.4074224878992, 'v_1': 26747.965303498342, 'v_2 + v_3': 1078.4142812228115}",0.005,2425.6619999999994,101.0,595296.0830293334,45.94383999,0.0,2.8836539321066332e-05,595296.0830293334,0,0,1,14,2,43812042.994326465,3.301500422755065
3,42,,-0.011083408959102092,-2713.9341307542304,1.0110530489426854,0,86400.0,259200.0,2017-12-21,,837.2310798611121,74192.44091904614,77308.26098202416,3014.820062978019,101.0,20967.85756085666,845.1667229139707,0.0,18209069.953762375,18209438.348785635,332.4511832707369,35.94383999,4938817.216207476,90.25327404193754,0.0,526.7163436131144,0,1.5854895991882293e-10,0,0,0,67.65667254319047,0.0,0.0,1.0,0.0,1.0020556344119462,0.033251867621988986,1.0,"{'u_1': 4938817.2162074745, 'u_2': 90.25327404193757, 'v_1': 20967.857560856653, 'v_2 + v_3': 845.1667229139708}",0.005,2425.6619999999994,101.0,595296.0830293334,45.94383999,0.0,2.8836539321066332e-05,595296.0830293334,0,0,1,14,3,62116217.42818476,3.411278971738491
4,56,,-0.01105304894268544,-3414.2949813572213,1.0027646590998784,0,86400.0,345600.0,2017-12-22,,689.014989583333,90507.06096912631,94307.91694522121,3699.855976094905,101.0,16999.655963197045,685.0359131168861,0.0,22213179.273953825,22213620.653242227,405.43544841284216,35.94383999,4004182.3044565916,72.98426514210524,0.0,831.0157544733593,0,1.5854895991882293e-10,0,0,0,54.85311206698108,0.0,0.0,1.0,0.0,1.0019409117736435,-0.17703128066192506,1.0,"{'u_1': 4004182.3044565907, 'u_2': 72.98426514210524, 'v_1': 16999.655963197034, 'v_2 + v_3': 685.0359131168863}",0.005,2425.6619999999994,101.0,595296.0830293334,45.94383999,0.0,2.8836539321066332e-05,595296.0830293334,0,0,1,14,4,62360721.67086065,2.807374887753327
5,70,,-0.0027646590998784415,-3689.9249874387597,1.0008628647268831,0,86400.0,432000.0,2017-12-23,,729.755027777778,108963.02536046383,113538.96158511973,7983.801272263324,7118.730095214854,19231.044639898522,4283.945296168418,7017.730095214854,26742840.326774985,26743364.400992155,488.13037718148695,5121259.764410454,4529743.747749928,82.69492876864479,5121223.820570464,1127.2137571297944,0,1.5854895991882293e-10,0,0,0,62.05245744046192,0.0,70.15518888862458,1.0,0.0,0.999917484331887,0.059127941786987326,1.0,"{'u_1': 4529743.747749928, 'u_2': 82.69492876864476, 'v_1': 19231.04463989852, 'v_2 + v_3': 775.0802485609933}",0.005,2425.6619999999994,101.0,595296.0830293334,45.94383999,0.0,2.8836539321066332e-05,595296.0830293334,0,0,1,14,5,79516315.59867601,2.9733683717605763
6,84,,-0.000862864726883128,-3498.7090293161,0.9994963926121291,0,86400.0,518400.0,2017-12-24,,673.805625,126785.77857289047,182297.01618188812,53596.44608802554,17526.60724370037,68758.05459676839,45612.64481576222,10407.877148485517,37816213.46490867,42938259.58862824,786.3593091256093,20490785.16568826,16194895.187636085,298.2289319441224,15369525.401277807,1549.193387131724,0,1.5854895991882293e-10,0,0,0,221.85023738136414,0.0,96.06833823474568,1.0,0.0,0.9991493841303015,-0.07666874587785025,1.0,"{'u_1': 16194895.187636085, 'u_2': 298.2289319441223, 'v_1': 68758.0545967684, 'v_2 + v_3': 40408.70624151947}",0.005,2425.6619999999994,101.0,595296.0830293334,45.94383999,0.0,2.8836539321066332e-05,595296.0830293334,0,0,1,14,6,85428970.77241807,2.259056709939809
7,98,,0.0005036073878709191,-3184.5199170453275,0.9989637722975832,0,86400.0,604800.0,2017-12-25,,753.689097222223,141374.09501962014,345320.7240665273,187228.17475526134,19142.913147809402,163023.7078846392,133631.7286672358,1616.305904109031,60843368.383988515,81335648.36768202,1494.8180052509244,49086000.03233911,38397388.779053785,708.4586961253151,28595214.86665085,2366.002940409483,0,1.5854895991882293e-10,0,0,0,525.9982417178794,0.0,16.68790557052114,1.0,0.0,0.9989243245865718,0.1185556624319114,1.0,"{'u_1': 38397388.779053785, 'u_2': 708.4586961253151, 'v_1': 163023.7078846392, 'v_2 + v_3': 132823.5757151813}",0.005,2425.6619999999994,101.0,595296.0830293334,45.94383999,0.0,2.8836539321066332e-05,595296.0830293334,0,0,1,14,7,106552114.04594629,1.7512527145684202
8,112,,0.0010362277024168476,-2818.4791240995683,0.9988026677718647,0,86400.0,691200.0,2017-12-26,,771.4236423611121,184925.7194774247,615168.7198923454,411100.0872671113,19142.913147809402,269847.99582581804,223871.91251184995,0.0,95804811.65822305,144893479.85029274,2668.159730585574,103645590.64951958,63557831.48261072,1173.3417253346495,54559590.61718047,3678.4389531670504,0,1.5854895991882293e-10,0,0,0,870.6683497618965,0.0,0.0,1.0,0.0,0.9984428127060585,0.023530319337577064,1.0,"{'u_1': 63557831.48261072, 'u_2': 1173.3417253346497, 'v_1': 269847.9958258179, 'v_2 + v_3': 223871.91251184992}",0.005,2425.6619999999994,101.0,595296.0830293334,45.94383999,0.0,2.8836539321066332e-05,595296.0830293334,0,0,1,14,8,142656072.0855242,1.4890282608606313
9,126,"[AssertionError('Liquidation short of collateral: 12402.15119058899 !<= 37206.45357176697'), AssertionError('Liquidation short of collateral: 36324.02648498964 !<= 108972.07945496893'), AssertionError('Liquidation short of collateral: 70725.84714954912 !<= 212177.5414486474'), AssertionError('Liquidation short of collateral: 134682.44050163805 !<= 404047.3215049142')]",0.0011973322281353393,-2456.5102110001453,0.9984336742232206,0,86400.0,777600.0,2017-12-27,"           drawn      dripped          freed         locked      time  \
0   6.772247e+05     9.277241       0.000000    2526.662000       0.0   
1   6.297454e+06    86.268265    1091.239059   13354.926395   86400.0   
2   1.218192e+06    16.687906     808.152952    2424.458856   86400.0   
3   5.121224e+06    70.155189    4587.279329   11605.009424  172800.0   
4   4.895343e+06    67.060874       0.000000    9533.347796  172800.0   
5   7.012886e+06    96.068903    6049.105297   16456.982446  259200.0   
6   5.421526e+06    74.268998     685.035913   11243.087883  345600.0   
7   5.293704e+06    72.517980     775.080249   11084.208131  432000.0   
8   8.356639e+06   114.476856   37206.453572   37206.453572  518400.0   
9   1.014397e+07   138.961370    3202.252670   22956.947114  518400.0   
10  2.737702e+07   375.035395  108972.079455  108972.079455  604800.0   
11  8.518701e+06   116.696925   23851.496260   40441.085848  604800.0   
12  5.455959e+07   747.406971  212177.541449  212177.541449  691200.0   
13  1.193577e+07   163.504787   11694.371063   58182.562056  691200.0   
14  1.037385e+08  1421.085006  404047.321505  404047.321505  777600.0   
15  0.000000e+00     0.000000    3396.907697  144076.033852  777600.0   

        u_bitten      v_bitten   w_bitten        wiped  
0   3.594384e+01    101.000000   0.000023  4714.190186  
1   0.000000e+00      0.000000   0.000000    90.253274  
2   1.218192e+06   1616.305904  16.687906     0.000000  
3   5.121224e+06   7017.730095  70.155189     0.000000  
4   0.000000e+00      0.000000   0.000000     0.000000  
5   7.012886e+06  10407.877148  96.068338     0.000000  
6   0.000000e+00      0.000000   0.000000     0.000000  
7   0.000000e+00      0.000000   0.000000     0.000000  
8   8.356639e+06      0.000000   0.000000     0.000000  
9   0.000000e+00      0.000000   0.000000     0.000000  
10  2.737702e+07      0.000000   0.000000     0.000000  
11  0.000000e+00      0.000000   0.000000     0.000000  
12  5.455959e+07      0.000000   0.000000     0.000000  
13  0.000000e+00      0.000000   0.000000     0.000000  
14  1.037385e+08      0.000000   0.000000     0.000000  
15  0.000000e+00      0.000000   0.000000     0.000000  ",770.245177083333,268601.4781647375,1106288.7077818715,818544.3164693246,19142.913147809402,491119.9878895262,407444.22920221335,0.0,156917353.29275185,260567748.38573176,4804.443460321885,207384090.88371927,115674268.53543901,2136.283729736311,103738500.23419969,5828.0567399693255,0,1.5854895991882293e-10,0,0,0,1584.6017195989016,0.0,0.0,1.0,0.0,0.9983219918822929,-0.0015276499358667951,1.0,"{'u_1': 115674268.53543901, 'u_2': 2136.2837297363117, 'v_1': 491119.9878895266, 'v_2 + v_3': 407444.22920221335}",0.005,2425.6619999999994,101.0,595296.0830293334,45.94383999,0.0,2.8836539321066332e-05,595296.0830293334,0,0,1,14,9,206888993.11384326,1.3184583398361438
10,140,"[AssertionError('Liquidation short of collateral: 12402.15119058899 !<= 37206.45357176697'), AssertionError('Liquidation short of collateral: 36324.02648498964 !<= 108972.07945496893'), AssertionError('Liquidation short of collateral: 70725.84714954912 !<= 212177.5414486474'), AssertionError('Liquidation short of collateral: 134682.44050163805 !<= 404047.3215049142'), AssertionError('Liquidation short of collateral: 249050.31079127558 !<= 747150.9323738267')]",0.001566325776779398,-2105.6099741876833,0.9982655535904248,0,86400.0,864000.0,2017-12-28,"           drawn      dripped          freed         locked      time  \
0   6.772247e+05     9.277241       0.000000    2526.662000       0.0   
1   6.297454e+06    86.268265    1091.239059   14063.269775   86400.0   
2   1.218192e+06    16.687906     808.152952    2424.458856   86400.0   
3   5.121224e+06    70.155189    4587.279329   11605.009424  172800.0   
4   4.895343e+06    67.060874    3361.329456   10083.988367  172800.0   
5   7.012886e+06    96.068903    6049.105297   16456.982446  259200.0   
6   5.421526e+06    74.268998     685.035913   11852.914765  345600.0   
7   5.293704e+06    72.517980     775.080249   11679.657304  432000.0   
8   8.356639e+06   114.476856   37206.453572   37206.453572  518400.0   
9   1.014397e+07   138.961370    3202.252670   24097.966666  518400.0   
10  2.737702e+07   375.035395  108972.079455  108972.079455  604800.0   
11  8.518701e+06   116.696925   23851.496260   41399.290801  604800.0   
12  5.455959e+07   747.406971  212177.541449  212177.541449  691200.0   
13  1.193577e+07   163.507027   11694.371063   36281.031867  691200.0   
14  1.037385e+08  1421.104473  404047.321505  404047.321505  777600.0   
15  3.414684e+07   467.768086    3396.907697  144076.033852  777600.0   
16  1.813549e+08  2484.329915  573924.567732  747150.932374  864000.0   
17  0.000000e+00     0.000000  185146.747187  185146.747187  864000.0   

        u_bitten       v_bitten   w_bitten        wiped  
0   3.594384e+01     101.000000   0.000023  8694.959494  
1   0.000000e+00       0.000000   0.000000    90.253274  
2   1.218192e+06    1616.305904  16.687906     0.000000  
3   5.121224e+06    7017.730095  70.155189     0.000000  
4   4.895343e+06    6722.658911  67.060874     0.000000  
5   7.012886e+06   10407.877148  96.068338     0.000000  
6   0.000000e+00       0.000000   0.000000     0.000000  
7   0.000000e+00       0.000000   0.000000     0.000000  
8   8.356639e+06       0.000000   0.000000     0.000000  
9   0.000000e+00       0.000000   0.000000     0.000000  
10  2.737702e+07       0.000000   0.000000     0.000000  
11  0.000000e+00       0.000000   0.000000     0.000000  
12  5.455959e+07       0.000000   0.000000     0.000000  
13  0.000000e+00       0.000000   0.000000     0.000000  
14  1.037385e+08       0.000000   0.000000     0.000000  
15  0.000000e+00       0.000000   0.000000     0.000000  
16  1.813549e+08  173226.364642   0.000000     0.000000  
17  0.000000e+00       0.000000   0.000000     0.000000  ",728.1856041666672,424489.797127805,2021248.3416645024,1580976.9608444935,199091.9367007343,914959.6338826308,762432.6443751688,179949.02355292492,268676561.47817725,476069437.57466495,8785.212768446294,393634285.3560271,215501689.1889332,3980.769308124409,186250194.47230786,9441.600645739745,0,1.5854895991882293e-10,0,0,0,2952.119708507569,0.0,67.06087368984231,1.0,0.0,0.9982066396437317,-0.05460543495505121,1.0,"{'u_1': 215501689.18893322, 'u_2': 3980.7693081244092, 'v_1': 914959.6338826307, 'v_2 + v_3': 759071.3149195634}",0.005,2425.6619999999994,101.0,595296.0830293334,45.94383999,0.0,2.8836539321066332e-05,595296.0830293334,0,0,1,14,10,309107359.3840967,1.1504812987164992
